URL,Título,Capa,Resumo,Autor,ISBN,Editora,Demografia,Lançamento
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-1.aspx,,,"Naruto Gold - 01
Esta é a Vila Oculta da Folha. Naruto é o garoto mais problemático da Academia Ninja e está sempre aprontando todas!! Seu grande sonho é se tornar um shinobi digno do título de Hokage, o mais forte e respeitado ninja da vila, e superar todos os Hokages anteriores...!! Mas um segredo em torno de seu nascimento o mantém distante tanto de seu sonho quanto das pessoas...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-2.aspx,,,"Naruto Gold - 02
Naruto Gold #2 - de Masashi Kishimoto

Naruto, Sasuke e Sakura estão sendo estão sendo testados por Kakashi-Sensei!! Se passarem nessa difícil prova, eles se tornarão Genins, ou seja, ninjas aprendizes! A Equipe Sete parte para assegurar a proteção de um notável construtor de pontes, o senhor Tazuna, mas terríveis sombras assassinas os espreitam!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Ed-3.aspx?oid=1287711,,,"Naruto Gold - 03
Zabuza, o demônio que deveria ter sido liquidado pelo sharingan de Kakashi, está vivo! Naruto e seus companheiros, que foram ao País das Ondas escoltando Tazuna, são acometidos por uma imensa sensação de insegurança. Mas não é hora para fraquejar! Sob a supervisão de Kakashi-sensei, um intenso treinamento tem início!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-4.aspx,,,"Naruto Gold - 04
Sasuke desmaia ao proteger Naruto...!! Nessemomento, o garoto, tomado por ira e tristeza, sofre uma transformação. O que vai ser de Haku, atingido pelo punho enfurecido de Naruto...?! E que rumo tomará o combate entre Zabuza e Kakashi?! O ""arco do País das Ondas"" chega a um fim turbulento!!

Série mensal. Concluída no Japão com 72 volumes.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Ed-5.aspx?oid=1297861,,,"Naruto Gold - 05
Indicados por Kakashi-sensei, Naruto e seus companheiros de equipe prestarão o Exame Chunin! Sasuke é desafiado para uma batalha antes mesmo de chegar ao local do exame, o que prenuncia um grande tumulto...!! Enfim começam as provas de seleção, reunindo indivíduos estranhos e poderosos...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Ed-6.aspx?oid=1287382,,,"Naruto Gold - 06
Começa a segunda prova do Exame Chunin!! Enquanto Naruto e seus amigos batalham por pergaminhos numa floresta sinistra, desconhecidos agem secretamente nos bastidores do exame. Qual será o resultado dessa prova cruel, que coloca em jogo a vida de seus participantes...?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Ed-7.aspx?oid=1297862,,,"Naruto Gold - 07
""O Sasuke-kun vai desejar me ver.""
Com essas enigmáticas palavras, Orochimaru se despede de Naruto e dos demais, desaparecendo na floresta... Talvez por causa do selo amaldiçoado deixado pelo misterioso ninja, Sasuke demonstra um poder avassalador e acaba com o Trio Otonin. Qual será o objetivo de Orochimaru?! E, assim, o Exame Chunin continua a todo vapor...
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-8.aspx?oid=1287383,,,"Naruto Gold - 08
Naruto e seus amigos finalmente completaram a segunda prova do Exame Chunin, mas antes de avançarem para a terceira e última fase, terão que passar por combates individuais eliminatórios!! Começam agora os duelos entre vinte habilidosos participantes...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-9.aspx?oid=1287384,,,"Naruto Gold - 09
O torneio preliminar entre vinte habilidosos participantes começou com tudo!! Sasuke, Shino e Kankurou já garantiram suas vagas, e a batalha entre Ino e Sakura chega ao clímax. Quando será a vez de Naruto?! Um trágico duelo está para acontecer...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-10.aspx?oid=1297863,,,"Naruto Gold - 10
O torneio preliminar da terceira fase está acirrado! Chegou a hora de Lee, que conta apenas com seu taijutsu sobre-humano, enfrentar o misterioso Gaara e seu poder de controlar livremente a areia!!
ver mais...",,,Editora Panini,Shonen,
